"myData0"	"myData1"	"myData2"
4.272235875E0	-9.394000284E-3	""
4.272953042E0	-9.882000275E-3	""
4.273512833E0	-9.088999592E-3	""
4.273817292E0	-1.098000072E-2	""
4.299318083E0	-1.067500003E-2	""
4.299835500E0	-1.012600027E-2	""
4.329558625E0	-1.000399981E-2	""
4.329776708E0	-1.012600027E-2	""
4.330032917E0	-1.030899957E-2	""
4.331098458E0	-1.012600027E-2	""
4.359499667E0	-9.211000055E-3	""
4.359700042E0	-1.024799980E-2	""
4.360543375E0	-9.272000752E-3	""
4.389694917E0	-1.043100003E-2	""
4.389993375E0	-9.699000046E-3	""
4.390652875E0	-1.018700004E-2	""
4.420027833E0	-1.067500003E-2	""
4.420517417E0	-1.030899957E-2	""
4.420994500E0	-1.043100003E-2	""
4.450798708E0	-9.943000041E-3	""
4.451507792E0	-1.037000027E-2	""
4.452216583E0	-1.055300049E-2	""
4.452904750E0	-1.018700004E-2	""
4.480672458E0	-9.272000752E-3	""
4.481451917E0	-9.576999582E-3	""
4.482186583E0	-9.699000046E-3	""
4.509301625E0	-8.723000064E-3	""
4.509522458E0	-1.091900002E-2	""
4.510432625E0	-1.085800026E-2	""
4.539426708E0	-1.055300049E-2	""
4.539631500E0	-1.018700004E-2	""
4.540503458E0	-9.515999816E-3	""
4.600838250E0	-9.576999582E-3	""
4.601535417E0	-1.012600027E-2	""
4.602290292E0	-9.759999812E-3	""
4.602989667E0	-1.055300049E-2	""
4.603698458E0	-1.030899957E-2	""
4.604363958E0	-1.085800026E-2	""
4.605035083E0	-9.638000280E-3	""
4.630582125E0	-1.134599932E-2	""
4.631302250E0	-1.043100003E-2	""
4.631974958E0	-1.067500003E-2	""
4.660065583E0	-1.037000027E-2	""
4.660861667E0	-9.272000752E-3	""
4.661638583E0	-9.515999816E-3	""
4.690682208E0	-1.079699956E-2	""
4.691213208E0	-9.394000284E-3	""
4.691404833E0	-1.091900002E-2	""
4.719528583E0	-9.272000752E-3	""
4.719728667E0	-1.049200073E-2	""
4.720532625E0	-1.030899957E-2	""
4.749257417E0	-1.055300049E-2	""
4.749549750E0	-1.067500003E-2	""
4.750151625E0	-1.104100049E-2	""
4.751058083E0	-9.943000041E-3	""
4.809543625E0	-9.576999582E-3	""
4.809905042E0	-1.018700004E-2	""
4.810140917E0	-1.012600027E-2	""
4.810584792E0	-1.128499955E-2	""
4.811284792E0	-1.018700004E-2	""
4.812349208E0	-9.943000041E-3	""
4.839527958E0	-1.085800026E-2	""
4.839732042E0	-9.638000280E-3	""
4.840298292E0	-9.943000041E-3	""
4.869624125E0	-1.122399978E-2	""
4.869844375E0	-1.061400026E-2	""
4.870308750E0	-9.821000509E-3	""
4.899560083E0	-1.018700004E-2	""
4.899773417E0	-9.943000041E-3	""
4.900053333E0	-9.272000752E-3	""
4.901229958E0	-1.006500050E-2	""
4.929797000E0	-1.122399978E-2	""
4.929997833E0	-1.043100003E-2	""
4.930606583E0	-9.821000509E-3	""
4.959523542E0	-1.116300002E-2	""
4.959728917E0	-1.006500050E-2	""
4.960750708E0	-1.055300049E-2	""
5.019663167E0	-1.000399981E-2	""
5.019936500E0	-1.043100003E-2	""
5.020276500E0	-9.211000055E-3	""
5.020657292E0	-8.906000294E-3	""
5.021367000E0	-9.943000041E-3	""
5.021715833E0	-9.394000284E-3	""
5.023143833E0	-8.906000294E-3	""
5.049683750E0	-8.784000762E-3	""
5.049900083E0	-1.067500003E-2	""
5.050508583E0	-9.882000275E-3	""
5.080227875E0	-1.024799980E-2	""
5.080436042E0	-1.116300002E-2	""
5.080637125E0	-1.116300002E-2	""
5.109692500E0	-1.073599979E-2	""
5.109957958E0	-1.049200073E-2	""
5.110686625E0	-9.882000275E-3	""
5.139865042E0	-9.333000518E-3	""
5.140092833E0	-1.012600027E-2	""
5.140303458E0	-1.012600027E-2	""
5.169807333E0	-9.821000509E-3	""
5.170044542E0	-1.177299954E-2	""
5.170261458E0	-9.821000509E-3	""
5.171294000E0	-9.272000752E-3	""
5.229727542E0	-8.661999367E-3	""
5.229967583E0	-1.232200023E-2	""
5.230203042E0	-9.455000050E-3	""
5.230627333E0	-9.638000280E-3	""
5.231223333E0	-1.128499955E-2	""
5.232452125E0	-9.821000509E-3	""
5.259582792E0	-1.006500050E-2	""
5.259823458E0	-1.079699956E-2	""
5.260529708E0	-1.000399981E-2	""
5.289596917E0	-1.122399978E-2	""
5.289868750E0	-1.018700004E-2	""
5.290536625E0	-1.085800026E-2	""
5.319643500E0	-9.150000289E-3	""
5.319863958E0	-9.515999816E-3	""
5.320063792E0	-9.272000752E-3	""
5.321204292E0	-9.882000275E-3	""
5.379807417E0	-8.723000064E-3	""
5.380042167E0	-8.967000060E-3	""
5.380276708E0	-9.394000284E-3	""
5.380589167E0	-9.027999826E-3	""
5.381188375E0	-8.967000060E-3	""
5.382421292E0	-1.159000024E-2	""
5.409583625E0	-1.049200073E-2	""
5.409823458E0	-1.012600027E-2	""
5.410626167E0	-1.098000072E-2	""
5.439596250E0	-1.049200073E-2	""
5.439804417E0	-1.000399981E-2	""
5.440326750E0	-1.037000027E-2	""
5.469426583E0	-9.943000041E-3	""
5.469631417E0	-1.037000027E-2	""
5.470116000E0	-1.043100003E-2	""
5.471063750E0	-1.018700004E-2	""
5.499594000E0	-1.043100003E-2	""
5.499801625E0	-9.576999582E-3	""
5.500263875E0	-1.000399981E-2	""
5.530237458E0	-1.091900002E-2	""
5.530451208E0	-1.006500050E-2	""
5.530662667E0	-1.043100003E-2	""
5.559906375E0	-1.030899957E-2	""
5.560126625E0	-1.116300002E-2	""
5.560336000E0	-9.759999812E-3	""
5.589564667E0	-1.085800026E-2	""
5.589812792E0	-1.037000027E-2	""
5.590263792E0	-1.159000024E-2	""
5.649641083E0	-1.024799980E-2	""
5.649871917E0	-1.061400026E-2	""
5.650081417E0	-9.699000046E-3	""
5.650658292E0	-1.024799980E-2	""
5.651205208E0	-9.515999816E-3	""
5.651733583E0	-9.759999812E-3	""
5.653399208E0	-9.394000284E-3	""
5.679827708E0	-1.055300049E-2	""
5.680138792E0	-1.043100003E-2	""
5.680544583E0	-1.067500003E-2	""
5.710103833E0	-1.085800026E-2	""
5.710343833E0	-1.043100003E-2	""
5.710547458E0	-1.067500003E-2	""
5.739560708E0	-9.211000055E-3	""
5.739796375E0	-1.152900048E-2	""
5.741486958E0	-9.759999812E-3	""
5.769684375E0	-1.085800026E-2	""
5.769937542E0	-1.067500003E-2	""
5.770136958E0	-1.049200073E-2	""
5.771140583E0	-1.024799980E-2	""
5.799495083E0	-1.018700004E-2	""
5.799717375E0	-1.049200073E-2	""
5.800923792E0	-1.073599979E-2	""
